#OTU ID	sample13	sample14	sample15
55a3b3b66eb1d13cf1e9d43f843987c6	5	0	0
a2d62443fd2b65934367891c1c04c298	7	0	0
de495f0bb1563f86f05572c88a758fac	3	7	0
8e3cbe6c44eb904a2fb92de20bb50cb4	2	0	0
73c7088cdc6ad24fa28ab1d44df3cc1a	2	0	0
623f7372b6388525a20df6da0baf38fc	0	2	0
b9c48e848951f82b4e7ae33b815dd7b3	5	0	0
55dc549b9a42a17c54fb3b0e03c3e924	0	0	6
16c40f218e86cabd727e06a9de9c1c6c	0	0	2
54981894f802766863b7ce223072e45c	55	0	13
cc8ba55359717713c495a8d708d052f5	0	0	14
56570b016a7e239568d6f122784313b2	26	0	0
de5a7057d4b44a503229c19bf8814620	0	7	0
a34ca7b119450de5291799d25a9d5dd1	15	0	0
0465be42f0b31a5ca1d1b66e0b5b1e5c	4	0	0
8e2cb3a2ee5f70a6bc52618216cf0598	7	0	0
73cfb1a35baa3687cc3f8ae6331ce601	0	8	0
b0b702ab3d8d6f10f4bbe7f99341c695	4	0	0
5c0d08262b90e681fc0691476c5cfdcf	734	22	0
2df4e15486e6a5a4d7a354048ca12415	7	0	0
67481d77a582539e01306f286ad5f25b	15	110	11
0e3251378fef74d85a1a4351b32c6e0d	0	0	3
b4d44f76c2dbab36c5770cd4800c0ec8	0	2	0
794a7dcad09028a09512b1a2c1ee0637	0	0	2
9a621588a3cc341b84091d09fddb426e	285	0	96
8a05d9a889725a2e064d2ff283aaebf3	24	0	0
ba787cb60028e59bbc0ed8a82b4a1631	21	13	13
e7be3d154c6bfc174abb45995a977206	0	56	0
b0333fef59e0f25ef3789002c074fc0c	0	0	6
76267ef493da0f63ef73934baf99cd21	2	0	0
64d63604fcdfce8ab1eea7f5f28653fe	0	12	0
7e9ddf7b9892c24e802c797856a5eeda	0	0	6
d56b9fa0bc20b9a844d110662d8d83f5	3	0	0
ab6eaa4c5be801a43e4c5c0d02c94952	0	0	3
6505b724a88e85d78ef689a5e3cd8cb3	0	2	0
82b9429bbba2396b96046e64c0a25384	0	0	12
df1441c093753dbdce9cca2d5f5b0f73	0	13	0
75ba8a28f72d98029eb911ce41e2e667	2	0	0
7f976514358b0fd40af778930d76e5d6	0	4	0
3c1a2c16afd8aa604eeb2e1bd873c31c	2	0	0
1da4498676a771b3a3229b784602cf4d	0	4	0
b62cd7e63ce73aace189bfe8f77ef688	0	0	6
700e7cb4a2f501c1e579826b56f74743	0	0	4
9ab7ddeb3ede07df83ae5247f4d3883a	19	0	0
282d7a89e26a6ee84cec994e831f8eb2	0	3	0
aa8a12c51ba1f529bf301aa1f65ebac2	3	0	0
0e785b4c4dd1b0d0bdba00b631f80d55	0	0	4
214bfbe8d3d6d2d97f9947a2da07375c	2	0	0
3c86d705b70b22ac18aa13fd0bf3a911	0	2	0
9468f79de62a2ab1c20fce92d1283cc9	13	0	0
5384d789cf4abf0ea2bbd2ed3700f739	0	0	2
6289bc920d652e8fab074036fe97a249	0	7	0
fcc86ad2ed626746c5a9991422838104	2	0	0
2be7090aeca8c55b28f5066abb3bf74e	0	3	0
52f679b0fb530601eab1b095bcf2af67	0	2	0
0ece63342f14cfd8474b3acb9b0ee640	0	0	3
858038b148e90f1afa129e8d207a7223	0	6	0
1a79deda5c9dcd8d9d503d49bb31a26d	2	0	0
77f2a330d4e8c225f6b4ccf83d5b3e71	0	0	2
40707952b0cff00a43a2e097c73190b0	0	2	0
3d2d353104387d99a120abfb2aa55765	19	0	0
779e1f1f2e44ba80da9d1d1601ea407d	4	0	0
9bad01ecfd0a7ce5068d1069a74f5178	0	2	0
50219af7bd4d8f2f48f6af0ac22d8a42	7	8	0
386e3d7ac8c98ce1cfc06f68ead75f02	0	2	0
140eb19a2a1f86f98af6cbaf13742dd1	0	4	0
1030318f1a0d3eafac6192f2927dd585	4	0	0
2f560dfd3a63778dd0fbf5ed7aea4d8a	0	6	0
b274d3ec899d5a46438146a442f19ba6	0	4	0
988d3b05057012267148ccbcd7de12b1	5	0	0
29f406679b43fb18bccb479bb9d71d0f	0	6	0
8e5e150f23bfddc9ea04f0a6c5fe8419	4	0	0
5fe329ab78099b0cf167203db30ff23c	2	0	0
33376a9350dc56c5019f6c38778ca13f	3	0	0
ecf18bab01d3d198adedd46885d96bff	0	0	2
540e354afc859cc489fd471a76e6a784	0	2	0
bff84669ebcd7b2a445747d7de839164	2	0	0
6ea3e967d56211102d7de527cb23f2f9	0	0	2
0e315dff96323f9e46f4a7e841453fe1	6	0	0
a726be2a9437848930bfe1c42c906e70	0	0	8
fc8f9fba74d617155e024187786322ad	4	0	0
59a4a1cac97a77d928e42ceef7282892	0	0	10
0a614db7734bed5fcde820a51fbae094	0	19	0
ed9f031bf17e1ec9974dbc3a3b102b3d	12	30	19
62ca930171117170b3245d66c176adcf	5	7	0
72e0050a253492128df440bad366ed85	0	2	0
1ad80ab6a550ca118a4304e5d4070ab3	18	3	7
eaf945521c08bc87f34e021eead21417	11	35	19
e4f8dcae12edabb359427239de95180e	13	0	0
0277f58859b0da2529ee04027627f24f	17	0	0
58db03159f2b9e2d0866151bc534bdc1	0	28	11
bb1004c0d0cc4019a3ab8746a4595eea	21	0	0
578abda3b3cdf363e1fdee49105fe969	0	0	14
6e8591253397823116b50a1164f6ed32	23	33	14
56fc48d429aa7fd8f79f081bccc82e66	0	5	0
54f9d45ebe3c73f54132b2f1eb066039	0	6	3
ae5e99d005282350ce1f131f0f4aa4c3	41	38	0
42016433985454f3186dde297fc37eb6	0	13	0
f5c016a49dce1c36648018c75bd5838d	0	36	23
6d1077459ccb01eeace99e9efc3f8d49	17	23	0
4e2d0baae4086a5f74e74e70bb12bf03	0	15	7
3cd5528177788b43960cf1fbbac6c08c	46	0	0
6ace4e7664815b50cab6e2db8056b113	0	0	89
9fb50a32a737170fe6d700455d7e81a6	0	35	39
5abeb1a42458331892dc31bfcd611d0c	31	43	0
71569aec73fab212c59e4ba2a59f78b2	0	0	38
80892afa4b168fd8a7852be5d883bd3c	29	58	34
f0dcfcc7583f36e2e332311d8d435e19	29	3	9
1237d1c08ca2624c522aaf2836115313	0	0	9
ad5df7325a029de3dbc86a2b0e00d131	8	0	5
16d6f620a8fd1ae80842c55602da12f1	0	8	0
114ed3d8b9268916d2d4fc5ef340547c	11	24	0
0328ee99ccdc804ce9f6e90a3243849f	0	0	16
4287f9128329cdf3a30826b67cc0126c	0	31	0
60be511662c5e56ef65820597b6b9e20	17	0	0
4a0b292ba716582f9af46694458c0b9b	0	0	32
a408344c4139f95efd0c698d0a0532ad	0	0	74
93e472623a0f77055e27c7d4590a5214	0	4	0
cec9c691d7829a2398f9b17b5e7a017d	0	0	4
c2e96943245c206699b3d4dc473ac72d	0	32	29
5db71146c1aabe66937edba2c79c9940	0	13	0
c66d39333c68d36051fe22821e338916	0	0	5
4d8e2ad2d26d6526e4693904cb8f2015	0	18	0
4e3755dfbc2ba8e15b3697a757d51e00	35	71	26
ee3af1bc9599fdb89cfc8e59e4318802	5	0	0
63f3ef8d5630be1b78efd960c93b16de	7	0	0
443c144feb447e03e88d132eab73bf52	0	15	0
92511ef4ebc6b40652d363480e51a33c	9	0	0
127e08cbd5097f5278bb4fc01fcd3b95	0	4	0
7d1beb86cac17c036aca6cafdad828ec	0	8	0
b32bb64868ba79c3ba72b6bbfd302649	0	4	0
e1a98b2c93bccde5ebe4ab557180b7fb	0	0	3
83497c50611683c8966e25716ff31d82	3	0	0
e2a00f9c975e4f900034b555f68f8900	13	0	0
633ccb68564609e80b2782cd297d53de	0	25	28
22fcda57cb55bf41206dd312899a2f35	14	0	0
9cad4f3b63773b0ae3c2c88d1f257528	0	0	3
e7d975be4a855d28d79aa3525691bdf9	0	0	14
66037c502268e45fc47b956570d9a733	0	6	0
99f5be575e8c578231ebe76eac012c60	4	0	0
19544923e054ae86ea199a63ae6ec2a7	6	0	0
8a47db1147f92e2401cceb6ca15b30f1	0	3	0
4c0ec42d7b66a901addd75bb6cdc3eb8	0	0	2
0e8218b8da80a87d307af95acd05e422	5	0	0
97adbfc22055f5a38c7a6c101f305b32	0	0	7
72097842f08e6b852b31f2216cc8c0c2	0	0	3
10bfc8d727381936039cc0a3f5018841	0	0	19
0f5e7df8ec7236936699ba84f8ca6414	10	0	0
e72ed16dc84a8f18b151fdc41f17fd8c	0	3	0
bdea978c88ba82af40c76b7ee7bcc2d0	0	2	0
48d4fb388424047cb9aaacae92aa153d	4	6	0
1d02eae4c38cd6033c50079bbedbf536	0	0	3
eb5576c2a5e91b66247d05c56981c5f5	2	0	0
9daf7d2989c772d69f5a286e4a314665	0	0	3
6cf8a86cebeb7d8c0465a18a0994fbd7	0	4	0
fc8e8fb4137499780557ec9852b8afe6	0	3	0
db38b30b5b7e61a05941374fbc0d5457	0	3	0
db74116d7f6b57751c5dd5b5c76960fd	0	2	0
75ae20b8caa984b440a4cef85e959582	0	0	3
69c0110c7de22bc8a6e886af8c76c232	2	0	0
81113a4f7b77ce02d431c2264b29c891	0	0	5
6b62b9d01cf9bf46a1a57c2a1da07e83	0	0	6
ee598bf2ed3e54fd434d4fbe1ddf6a7b	0	3	0
68e461dd5c6f3b305a5ffa1bf3e8be77	0	5	0
c9f441c4a7422d7ac3dc05b3c86d37ce	0	0	5
9dbbd3521d519701b9fc1353d4f18539	0	0	3
ad2566714dfcb3729a6d22944c46d5d1	0	0	12
aee1f4a131670dec0c85e943f0a17df8	5	0	0
8cbd236a460355142acf2b471e2fa762	0	0	5
38ce83ce2922ff43032f70fa5adad3a6	0	26	0
598e0614f106970d50b699b47ec7c39c	0	0	65
45afd9dfa0972605b574891a50c2c215	0	10	0
49103e974fcb703c46bd2f757f136192	0	0	9
159444bc0b813da46a659d21a4d714fe	0	0	58
0059e389852a24857d3fea3cade2f4d3	31	0	0
9e530f6fced5f6d48f91f5adfb6a2c15	0	0	19
9428d7ccf0cbcac1b300ecbc71111c36	2	0	0
4858486cec1af0252d7e029a2cb70505	0	4	0
a284fc5e1094f7010adfb52aaa2173ef	0	3	0
3b3e1608aa048a025edb0958d04d8f0b	0	0	3
d781b7ef8c6c1af7848f54209d66be29	0	0	2
95c792b1008a7f80e9ab9f270adf4d76	0	5	0
3ebba7cd9bc200dc16196f6e32a34da0	0	3	0
d5c7d375b6fc32ee88e4e90406af6bce	0	0	5
dbd4c8cd4c0feedeb8f1adaf7ca60281	0	0	3
918037c11fcdd1a633d6715972f5c777	0	0	2
1533b1b28ce337a1cec0d7e5c16c6d4f	0	8	0
5fcdd37db5f7fdd9b53139264f8e008b	3	0	0
a8796b2e50505e4296833695931c87b2	0	12	0
09de94a9f24271495eafb06e3e23037a	12	0	18
eace8170816296b8d6acede864ce6ef9	10	11	13
a3a0df86b69b3beec082e4d1314eef1b	0	0	4
6793146b3666c73110f43e963e1f2b65	19	24	0
2458844b92ec03437f82cbd99b458a3d	0	18	43
192bfd1c9d1aab9d223d800ce72d616a	0	17	24
a06cffbd428387e870a6d176a078664d	18	0	0
38802b379cd430ee550000bd2fc3bc25	18	0	0
5a819d62713db9fbfe37e4d6f3312d3a	0	0	26
f467f8787adbb3e5fc9f1bc590118e1d	17	22	57
ea14bcddac06a67bef5f83e1acdfb67e	0	0	18
3835660921eeee68c44d037dff2ca750	0	2	0
dd76971236354385ae2bab36dbdcabfe	0	0	2
ac3b3112d6f5ad7e40e570ccd1bb1efc	0	11	0
31dec8dca9d457e87ea0b76abfe9a86b	6	0	0
21cbb4e6500a1cff3cf77dae41756349	0	2	0
7d7118c068368d02a332486422bb0836	0	0	5
a2c0263b186301c27910ffb00137cc1a	0	0	2
a597ca4db583283f7236436a25dcb6f4	0	2	0
8dcd7b56692073881a4fcbe9a29bafd8	0	0	2
3fdece227ac8d2b30a9f50511d772b93	0	3	0
61853c1dabecb38654b2d60095a83f55	0	0	8
3d1a5d37d7dc7bbf41fdcb9a48a4c8e0	0	6	0
2ecbb379e0e73dd6c0186eb6924e77e2	11	0	6
8d89d7f8fdf9ae8ed203adf1c5cb035c	0	0	2
29eba3d3c6e30c211baed17f462ff122	17	0	0
ad8e84b07fc0c97075139c602c9e84b8	0	15	0
ea51949bf9d3077ea086e56d6d314fd0	0	3	0
f8d9aa149f08c2007b1540d2f20eba53	0	2	0
8deac8d71b7692333216012c4ffc7611	0	3	0
b31815f5345a1e754d49ca1f57328252	0	44	0
d4ccfb1096815ff6e40b60f2f04a6370	15	0	0
4707be392b8d5ff3c73cae3d8d376c7e	0	0	4
9f3a2a63f2d574dc91350aa48a12d040	0	0	2
a1651edbdc761d96ecf4ad59e0ed232f	0	6	0
4887d4179cf1f7e9a8f3e2a4fb1a67e7	0	7	0
a2a7a72d79b806cdf37962ba599cde39	0	0	38
89892de19388fa2c25bc671e3f912ac8	0	23	19
c9e471bcae1446b0585095bfe482e3cf	18	18	26
b229c6a3fa1737367d82e64e7d22c5d0	0	0	25
070fc272903ae7ea02e3a26448029004	61	0	0
50997d1e6c398e7abaceb666004a2456	0	44	48
fc10aecad369fc10c441da7f5c3ef3cc	0	21	0
9784b14bec27a3d740e30cbb1ce34cb5	0	68	0
fe6c162f95b9aa4bd1dfae49ab323e2e	0	10	0
34ed5dee580cb7e4333f93fa7bbb2354	0	0	20
3b94c19ef326eea0918e1c3d244c999c	16	21	0
107273e73071282e4d0f4a0b46548da5	0	8	11
a63c438fdf54dab3760eef280c5b4fc3	22	0	0
dce9757753392d013b82f1f2cf10d4be	0	9	0
188b07e2aed03b1c3f2b3a510b94ca85	10	0	0
69e17e5ec4674540e2539eb5db042229	33	66	72
e3b096f22248bcc019a38896f15d2da5	35	0	0
bd8c256632d54573231e27266205af1b	0	52	0
8440e92566510861d1c3f532406d3393	14	23	0
96f3d5b5be8fa60bb6444ae7aab4bc96	0	38	0
a40529b1cc5c753afce3a4cf9a1267b3	16	0	0
ee1a696149d8fc9012ae249a705b951f	19	46	70
d833bc7f930dc869cfc1fd46795861e0	0	39	0
4254d0756c46f28babbae359ee7177c9	47	83	88
3cbba1d1b04835c640ba13127e892431	0	0	19
e67cada393697a42b094bea57c4790ba	14	23	0
91878d7c16811333ee5db6102c3be33e	0	38	48
5461cbec86382de4f99ac81bfd6293cb	38	52	35
b963f284211ddb47a84907016404530d	39	42	0
65367bba4177243dcf974509bfe61cff	6	0	0
7296430511816eba28a360cc4021699d	20	0	0
35845519e75ee6d9432c24a8975e4dbc	0	0	14
7e71d3996010a93a50961247b0d28844	0	0	26
760b84dc243afd9a6dfe98573c66c9cf	95	154	121
d4c7c94d6fc7acda222e35a50af236a8	37	42	49
d9104cf3e9f8711a1d543a78d18600fb	43	52	56
c6e9c9fe9159441c4ffe44947875236a	29	0	46
908e39d38154e02ea650800b2b50d253	0	71	33
91848e8e6fd1003f5503e1eb38db87fa	47	53	62
61453727aca392626480264d262306c6	0	0	31
aed191bac0b1c3264208a084af848bed	35	0	38
aa29557b892998ade94086289aac8db4	27	23	0
ba7c460bf2d0ff592fc2a6f198046b7b	43	66	72
c9de210c5a513e7749d7e67ce403d19a	0	33	0
f68e565c2707a5786c61ac725e77b50f	28	49	34
fc7b257064027e1bc2b6fbfb4584677d	0	78	0
dab1160ee7a4ecf9945086ff09f99528	87	46	76
be95196bbfd926e23670cc250d548e08	57	71	62
b909a92ff7714e3dcc0db59c280a7ac9	62	0	52
8012da7c810e58147175f741af2a78d2	15	0	66
274f5d8b66ac706d64974fbd87b2c5c6	0	11	13
544ad0fe7ff864b6f888b8cde90ed6cc	25	0	46
5b9df46d455679e14a72b37becd9b0ee	0	0	86
0a5a25f4502f341173aba7e91dd1a35a	0	37	0
7de8357661e8182771db98b376924183	71	0	0
18971657bcc83b08f4170e62bc385c41	0	16	0
768ff790029528f59a65d20998f9f578	0	0	40
a30f212b0b80a8de34d952b50ba93f8e	0	85	0
679ebeebd9eb54c751dae264aa39742c	0	0	53
15ea62391b1895eb8f34a2f892338dbd	0	34	0
662d31a0dfcfa620acda7fac8b0ec911	39	32	71
0eabc682891ef94386979209e69c5d15	0	0	8
2e9577704b04f1df657a3bceaac8e7f3	12	0	0
53c8f21306a12d6f30a53416a44b5aa7	58	43	0
f240b92f2ba24b422cbd20be1b541462	11	0	0
31b89aa95438c5b57aee9ab38ccc7ca8	0	0	29
897e0ed8fd3bca125d12b9066a959bda	24	0	0
41267fc33d4916b524af6a6a8a2d7345	0	0	63
628154210d3c99420879783058ea77f5	59	0	30
7af6ae689696e9ea838fbb88ee9afb78	20	0	41
4da1ab0190b065b4136bce78f2a475b7	223	270	250
0ea93d4c0bfc0ee81d83790e06503050	26	44	47
adfb67f460d65aa8614bed0880411c61	15	15	15
acc9603a819dc23a606ac6c1b9105b6d	88	85	49
72541c4aba5e8eb7b2b428d8df194cc8	0	22	15
10af29c0fe1b7431dcb0cabb9a5acf3a	0	0	139
f3da62ac5642365a887f4051dbd0829e	25	0	0
4855ee3548a9e01dceb4b62d432a5c88	0	77	0
af0920f18ebb7f58a083ef3ebc43a9e6	0	25	0
8f39781f969d8364cac669bd142e5485	0	43	0
324cd1cf1bfd1c3a19ce902610c8c1d0	0	30	0
a2f21cd05cbf503426f5e24ab1aa0d65	28	28	46
f97c5ddfd4d0b1612653dcae6b503fb9	0	0	10
cbcbcaa46200b50cdb8511ac4f648869	0	0	20
8881817d91d6655391381f3284a254e8	0	0	6
00f37069d13c7163c6b1f5c5b195b8de	29	0	0
1bdb740bd5a9be6edda2b1ab8235ad4d	0	0	34
843380d2a27182c581fc85a7cc4ad035	0	0	18
0eddb9e7badfe09f759c282fb19626d9	0	0	26
10c5d39d62e9ac1f325e79af48efc1b1	0	63	0
eb7739b28ef708339447f38e88f42687	0	18	17
5dead366267b454d804cf8a35d290d74	15	0	0
2692b51dc69b7a25255e60c4e6b8d269	17	21	25
e5584a38336b44ee9c9c098a6a7864a2	89	183	156
87d1b1bad46c39ae37b8910caafd7e70	0	0	24
68bc51b4ca47cc5a985dd37b46bffdc7	0	0	7
cc2e2b574d11c980e9f5f4a8d5a557b3	0	0	17
d36957a0d3172d2e5612266f417bbed6	0	0	15
7c0feff6b24f4cca26341d6ae63d9a6c	0	36	41
ba80298023386286f71f3c1bfa75ed8a	0	62	100
535ae69c75b0455650c45d63c9f9081c	0	0	7
260081b2111589f6fbd9214b86a3001c	0	0	51
86ebdcf0c17daf5f3b0ae991dee2283d	0	0	40
f8b8173289056f3442317b4669562a60	22	0	0
d1f2806b138340176469a09dcc25ab94	0	87	89
ac3860e73af4aeb3e8da594f1acbb8ed	0	35	0
8d19170201828f1ae77a452a84fdb71c	0	14	0
bb437332f8e8cbbcfebf1240d429051f	43	25	0
28cb105c1f8dcca50f37d51bcd439e75	0	0	27
731d9d7f7bce53a7dd5d190aabdedb5d	23	10	0
5538083ec6f22a468dc7f2daad10a13f	0	0	13
212cd40f4f523081dfd5530e82fc9849	0	12	0
5941ea92d0518fc7f36d1994a75ca252	0	0	20
ffebe64cbd1a0d7de3828baf495bf433	0	29	39
821eed576f621b5d223948afd8ffca39	18	0	17
f48cbba2fe7a2cba3df1c5bcffc1fa83	16	38	13
7f95f9b13572c644ced4cef5d29bbdd5	17	66	47
3621bb0fbc4f5065b72a37b1b9e72e23	0	63	0
dbc02c8c00bcfec46438711f98f50dce	95	117	71
91c134529ed01813fc5c02979c38dda4	0	17	0
a19aae1a406e164115e254745423e173	0	0	18
a79df03c29d5421b97a241db52f4f4ab	0	18	0
0df25bc45c2e8abaed0cc1a44396e13f	27	53	33
c64544d338bb4e9c1d9f1829d3ce267d	0	18	0
c144e82d838ae732186360aa1ce8ccd7	0	0	44
b8d7f54e70496c9488e9a68c1758cb89	25	35	23
e9b51fa66365718d5a8a06eb0c480099	0	10	0
8373b5033a641e1854dd76b40ff8a950	0	0	8
e34278624f8555596c7c17288fc1c35d	11	24	18
b343bd036ac1f56286cc27a6a4a6c333	0	35	0
0deb2dd0990f1f8c24947a3eb384c73b	0	0	58
1d01d917424409a56f7b3c2e1558cefc	0	27	0
2aad3d6ccae98ac3481b6177a6fde4bb	21	64	53
2554d21993544f2f64022242c3cf738d	0	16	0
3c32cd82e753ba0fe5f604ecacab56dc	0	31	0
b2231df03b4e173ec9da889a2406dee0	0	0	72
eb94c8c45dd1111ff0036183deaf24c6	0	18	16
5ed40b6e9c47f0f73e881a41deb1d578	0	0	15
fab3510356070390bce8ea3570c6cb07	0	103	55
03582786d3c5fb41562d9826a5981b66	0	18	22
d111a370c316566f2e7d3476e7854f39	0	8	0
679ced5991a7ee855072492ed56b7846	4	0	0
cdef6f651fbaee3cd224b9f48489807a	0	2	0
066c7e7807723a19cd89b22622189961	20	0	0
0af2aee8c0040db1b011087cf18f51cc	0	9	19
fa9df3334ff0b289bb1bd88673cce0fc	0	25	0
0d989d155d117292c5198a2ac218a97f	17	0	14
7eaf7222005527266d37520afaaefdfd	0	4	0
0c5f3cab7a3df017cab528285f0cff7b	55	58	42
933a5c2e71af312a3230d83dff66f9e4	33	29	73
4210aa5cb22f410b33da4c109bdd814f	0	26	0
dd0e105ceac38ff3f467b3cdd2746f81	43	0	0
57a7fb5cf57ce47f86378a585457322f	0	0	14
86816e0d54976e01f3e4712d55be04d2	0	7	11
e677be88f519f8f075352c43c8dcbb0d	0	13	0
b9e19b93581753ea4f175987d9958fc7	25	0	0
e9ac80b3b7f2f0cfe652a21e1250ed62	0	8	0
52335f052a96b3251198555fd6851c53	14	0	0
d22d95532882baf929b8c9059ef4b540	0	16	19
bfcf1d3746a5339f0c0010233a117b66	22	14	35
c32143ed067035738c5dbeb283a83790	45	0	33
07dcf8e5e04bcf2ee40da5d5fa114dfd	5	0	0
d6b73477687a9b2f64b4dc6ad4ff0d78	0	0	10
22a2551b556aa1fc1d196c6a9a7ab0da	0	9	0
40e04db9b053a7916dec5dfc72902997	29	22	0
a6857be4c4419bf8f0b444394341b4d5	0	0	26
307adbc6fb5b3d726247ca994176ae0e	0	18	27
fe5665d34933a6c66978e19e631203c1	13	0	0
b308727c33ea1bfd9567d50f8e68d96c	0	0	47
